sector,N,i,block_i,j,block_j,inner_product,inner_product_over_N3,correlation
high_lambda_16,4096,7,64<c<=128,16,32768<c<=65536,48948921708,0.712300559214782,0.5760044735326783
high_lambda_16,4096,7,64<c<=128,17,65536<c<=131072,-58208904069,-0.8470510375482263,-0.9034762877525838
high_lambda_16,4096,7,64<c<=128,18,131072<c<=262144,-164891105,-0.0023994813818717375,-0.03557153002210096
high_lambda_16,4096,7,64<c<=128,19,262144<c<=524288,651160977,0.009475639337324537,0.5790779550062992
high_lambda_16,4096,7,64<c<=128,20,524288<c<=1048576,-3467866,-5.046409205533564e-05,-0.14302485593409503
high_lambda_16,4096,8,128<c<=256,0,c=1,8464793044566,123.17895081019378,0.9976793796331033
high_lambda_16,4096,8,128<c<=256,1,1<c<=2,-4436838358769,-64.5644956787728,-0.997764111667164
high_lambda_16,4096,8,128<c<=256,2,2<c<=4,-3043915354827,-44.29479820576671,-0.997816651438938
high_lambda_16,4096,8,128<c<=256,3,4<c<=8,-1683109452459,-24.492466072246316,-0.9978996734583294
high_lambda_16,4096,8,128<c<=256,4,8<c<=16,720310828822,10.48190211909241,0.9980410812487589
high_lambda_16,4096,8,128<c<=256,5,16<c<=32,-1321034247678,-19.223578385979636,-0.9981116203539809
high_lambda_16,4096,8,128<c<=256,6,32<c<=64,876097627009,12.74889840000833,0.9981992398744669
high_lambda_16,4096,8,128<c<=256,7,64<c<=128,-191610107003,-2.7882940340059577,-0.9979031104379661
high_lambda_16,4096,8,128<c<=256,8,128<c<=256,71492971446,1.040359659906244,1.0
high_lambda_16,4096,8,128<c<=256,9,256<c<=512,-103900476415,-1.5119509249780094,-0.9815922027568066
high_lambda_16,4096,8,128<c<=256,10,512<c<=1024,103489418534,1.5059692455397453,0.9482803570876589
high_lambda_16,4096,8,128<c<=256,11,1024<c<=2048,294887220623,4.291173836434609,0.9652532781062888
high_lambda_16,4096,8,128<c<=256,12,2048<c<=4096,356146292609,5.182610658943304,0.9528624089290648
high_lambda_16,4096,8,128<c<=256,13,4096<c<=8192,141550072880,2.0598246611189097,0.7153085018695581
high_lambda_16,4096,8,128<c<=256,14,8192<c<=16384,-182708018502,-2.6587515967839863,-0.9867854925572763
high_lambda_16,4096,8,128<c<=256,15,16384<c<=32768,-81518116961,-1.186244727592566,-0.9333754732240248
high_lambda_16,4096,8,128<c<=256,16,32768<c<=65536,-17380521239,-0.2529198716947576,-0.5493033062888971
high_lambda_16,4096,8,128<c<=256,17,65536<c<=131072,21208498803,0.30862427670217585,0.8841052189877432
high_lambda_16,4096,8,128<c<=256,18,131072<c<=262144,35747476,0.0005201942403800786,0.020711778347305598
high_lambda_16,4096,8,128<c<=256,19,262144<c<=524288,-233760949,-0.003401669513550587,-0.5583253113656316
high_lambda_16,4096,8,128<c<=256,20,524288<c<=1048576,1228927,1.788324152585119e-05,0.13612628308686053
high_lambda_16,4096,9,256<c<=512,0,c=1,-12462173216313,-181.34848820501065,-0.9920769148866981
high_lambda_16,4096,9,256<c<=512,1,1<c<=2,6530525024813,95.03164655780711,0.9919260110612519
high_lambda_16,4096,9,256<c<=512,2,2<c<=4,4479632051101,65.18722586189688,0.9918304284663545
high_lambda_16,4096,9,256<c<=512,3,4<c<=8,2476376263447,36.0360174592206,0.9916720272393905
high_lambda_16,4096,9,256<c<=512,4,8<c<=16,-1059357765845,-15.415684405088541,-0.9913979984547764
high_lambda_16,4096,9,256<c<=512,5,16<c<=32,1942397565319,28.265604710308253,0.9912428529116335
high_lambda_16,4096,9,256<c<=512,6,32<c<=64,-1287828316460,-18.74036848981632,-0.9910592281004653
high_lambda_16,4096,9,256<c<=512,7,64<c<=128,281900762549,4.102195999425021,0.991615079527258
high_lambda_16,4096,9,256<c<=512,8,128<c<=256,-103900476415,-1.5119509249780094,-0.9815922027568066
high_lambda_16,4096,9,256<c<=512,9,256<c<=512,156714625822,2.280497950006975,1.0
high_lambda_16,4096,9,256<c<=512,10,512<c<=1024,-142007229602,-2.066477166983532,-0.8788771464085003
high_lambda_16,4096,9,256<c<=512,11,1024<c<=2048,-418347826308,-6.087762104405556,-0.9249106042849606
high_lambda_16,4096,9,256<c<=512,12,2048<c<=4096,-542599935149,-7.895868259205599,-0.9805244164814336
high_lambda_16,4096,9,256<c<=512,13,4096<c<=8192,-229900939661,-3.3454989848687546,-0.7846951075827331
high_lambda_16,4096,9,256<c<=512,14,8192<c<=16384,273698515158,3.982837590709096,0.9984228197381324
high_lambda_16,4096,9,256<c<=512,15,16384<c<=32768,125771717405,1.8302193698036717,0.9726624399226688
high_lambda_16,4096,9,256<c<=512,16,32768<c<=65536,29019201801,0.42228496460302267,0.619457888535831
high_lambda_16,4096,9,256<c<=512,17,65536<c<=131072,-33051440139,-0.4809617550781695,-0.9305963006394898
high_lambda_16,4096,9,256<c<=512,18,131072<c<=262144,-153335745,-0.0022313287627184764,-0.06000567466002745
high_lambda_16,4096,9,256<c<=512,19,262144<c<=524288,377736534,0.005496790021425113,0.609370260237935
high_lambda_16,4096,9,256<c<=512,20,524288<c<=1048576,-2066705,-3.0074515962041914e-05,-0.1546220046234918
high_lambda_16,4096,10,512<c<=1024,0,c=1,12017468576762,174.87718398860306,0.9278799758699272
high_lambda_16,4096,10,512<c<=1024,1,1<c<=2,-6301806724863,-91.70335724575853,-0.9283751495603809
high_lambda_16,4096,10,512<c<=1024,2,2<c<=4,-4324598044381,-62.93118413859338,-0.928684247348814
high_lambda_16,4096,10,512<c<=1024,3,4<c<=8,-2392352543902,-34.81331141522969,-0.9291885639696342
high_lambda_16,4096,10,512<c<=1024,4,8<c<=16,1024638018383,14.910445583271212,0.9300431445784711
high_lambda_16,4096,10,512<c<=1024,5,16<c<=32,-1880002143973,-27.35763182824303,-0.9305239064272276
high_lambda_16,4096,10,512<c<=1024,6,32<c<=64,1247420527544,18.152357770944946,0.9310687984109147
high_lambda_16,4096,10,512<c<=1024,7,64<c<=128,-272519854791,-3.965685824965476,-0.9297630171913314
high_lambda_16,4096,10,512<c<=1024,8,128<c<=256,103489418534,1.5059692455397453,0.9482803570876589
high_lambda_16,4096,10,512<c<=1024,9,256<c<=512,-142007229602,-2.066477166983532,-0.8788771464085003
high_lambda_16,4096,10,512<c<=1024,10,512<c<=1024,166592343121,2.4242376547917956,1.0
high_lambda_16,4096,10,512<c<=1024,11,1024<c<=2048,452675216743,6.587291380026727,0.970680280410643
high_lambda_16,4096,10,512<c<=1024,12,2048<c<=4096,470861703081,6.851939587519155,0.82527614354796
high_lambda_16,4096,10,512<c<=1024,13,4096<c<=8192,158116210395,2.3008936898986576,0.5234363058312727
high_lambda_16,4096,10,512<c<=1024,14,8192<c<=16384,-250801979613,-3.6496491464349674,-0.8873608504597682
high_lambda_16,4096,10,512<c<=1024,15,16384<c<=32768,-104446935393,-1.5199029497016454,-0.7834334361724334
high_lambda_16,4096,10,512<c<=1024,16,32768<c<=65536,-17824518354,-0.25938088007387705,-0.3690382442488221
high_lambda_16,4096,10,512<c<=1024,17,65536<c<=131072,26497645611,0.385591492682579,0.7236115133882963
high_lambda_16,4096,10,512<c<=1024,18,131072<c<=262144,-145722915,-0.0021205475059105083,-0.05531004506305364
high_lambda_16,4096,10,512<c<=1024,19,262144<c<=524288,-266305926,-0.003875261259963736,-0.41667777986088567
high_lambda_16,4096,10,512<c<=1024,20,524288<c<=1048576,1261842,1.8362217815592885e-05,0.09156405861220947
high_lambda_16,4096,11,1024<c<=2048,0,c=1,34584080110993,503.2646020262182,0.9538927789420016
high_lambda_16,4096,11,1024<c<=2048,1,1<c<=2,-18133092005025,-263.8712176853005,-0.9542777941171918
high_lambda_16,4096,11,1024<c<=2048,2,2<c<=4,-12442757335688,-181.06594995607156,-0.9545166054189236
high_lambda_16,4096,11,1024<c<=2048,3,4<c<=8,-6882366862774,-100.15161915760837,-0.9549068776223097
high_lambda_16,4096,11,1024<c<=2048,4,8<c<=16,2947045011157,42.88514917653811,0.9555731189998294
high_lambda_16,4096,11,1024<c<=2048,5,16<c<=32,-5406535679003,-78.67544887999247,-0.9559447432250493
high_lambda_16,4096,11,1024<c<=2048,6,32<c<=64,3586819803783,52.19509772407764,0.9563634515376036
high_lambda_16,4096,11,1024<c<=2048,7,64<c<=128,-784182863761,-11.411362556988024,-0.955731701172171
high_lambda_16,4096,11,1024<c<=2048,8,128<c<=256,294887220623,4.291173836434609,0.9652532781062888
high_lambda_16,4096,11,1024<c<=2048,9,256<c<=512,-418347826308,-6.087762104405556,-0.9249106042849606
high_lambda_16,4096,11,1024<c<=2048,10,512<c<=1024,452675216743,6.587291380026727,0.970680280410643
high_lambda_16,4096,11,1024<c<=2048,11,1024<c<=2048,1305467264257,18.99704896287585,1.0
high_lambda_16,4096,11,1024<c<=2048,12,2048<c<=4096,1400268334631,20.37658610251674,0.8767216173846586
high_lambda_16,4096,11,1024<c<=2048,13,4096<c<=8192,457384625828,6.655822301807348,0.5408957051776808
high_lambda_16,4096,11,1024<c<=2048,14,8192<c<=16384,-733938837891,-10.680215751795913,-0.9276276797948261
high_lambda_16,4096,11,1024<c<=2048,15,16384<c<=32768,-305634310612,-4.447564578906167,-0.8189417894478596
high_lambda_16,4096,11,1024<c<=2048,16,32768<c<=65536,-49552330519,-0.7210813130805036,-0.3664900448036444
high_lambda_16,4096,11,1024<c<=2048,17,65536<c<=131072,76705038986,1.1162052249128465,0.7482842448371423
high_lambda_16,4096,11,1024<c<=2048,18,131072<c<=262144,-520953438,-0.007580870267702267,-0.0706349424934298
high_lambda_16,4096,11,1024<c<=2048,19,262144<c<=524288,-757509693,-0.011023216837202199,-0.4234013422361894
high_lambda_16,4096,11,1024<c<=2048,20,524288<c<=1048576,3492207,5.081830022390932e-05,0.09052417173737094
high_lambda_16,4096,12,2048<c<=4096,0,c=1,42865791512612,623.7793642883771,0.966385963192694
high_lambda_16,4096,12,2048<c<=4096,1,1<c<=2,-22461094034147,-326.8519363212836,-0.9661627559969242
high_lambda_16,4096,12,2048<c<=4096,2,2<c<=4,-15406450534783,-224.19336215218937,-0.9660194791947028
